Daily_demand,Demand,Diesel_engines,Fuel_oil_gas,Gas_turbine,Generation,Non_renewable_waste,Peak_Load,Renewable_waste,Solar_PV,date
-,603,577,577,0,603,13,33 (21h),13,0,"2014,01,28"
-,598,572,572,0,598,13,32 (21h),13,0,"2014,01,27"
-,527,499,499,0,527,14,30 (22h),14,0,"2014,01,26"
-,554,525,525,0,554,14,30 (22h),14,0,"2014,01,25"
-,603,571,571,0,603,16,32 (21h),16,0,"2014,01,24"
-,612,583,583,0,612,14,33 (22h),14,0,"2014,01,23"
-,618,589,589,0,618,15,34 (21h),15,0,"2014,01,22"
-,600,572,572,0,600,14,33 (22h),14,0,"2014,01,21"
-,604,578,578,0,604,13,33 (21h),13,0,"2014,01,20"
-,546,520,520,0,546,13,31 (22h),13,0,"2014,01,19"
-,556,527,527,0,556,15,31 (22h),15,0,"2014,01,18"
-,589,559,559,0,589,15,31 (20h),15,0,"2014,01,17"
-,596,566,566,0,596,15,33 (21h),15,0,"2014,01,16"
-,587,557,557,0,587,15,32 (21h),15,0,"2014,01,15"
-,600,573,573,0,600,14,33 (22h),14,0,"2014,01,14"
-,614,587,587,0,614,14,34 (21h),14,0,"2014,01,13"
-,532,501,501,0,532,15,31 (22h),15,0,"2014,01,12"
-,565,534,534,0,565,16,30 (21h),16,0,"2014,01,11"
-,601,570,570,0,601,15,31 (20h),15,0,"2014,01,10"
-,600,571,571,0,600,15,33 (21h),15,0,"2014,01,09"
-,598,568,568,0,598,15,33 (21h),15,0,"2014,01,08"
-,581,553,553,0,581,14,32 (22h),14,0,"2014,01,07"
-,512,484,484,0,512,14,29 (22h),14,0,"2014,01,06"
-,520,493,493,0,520,13,27 (22h),13,0,"2014,01,05"
-,545,518,518,0,545,13,29 (22h),13,0,"2014,01,04"
-,570,542,542,0,570,14,30 (22h),14,0,"2014,01,03"
-,584,557,557,0,584,14,31 (22h),14,0,"2014,01,02"
-,533,502,505,3,533,14,30 (22h),14,0,"2014,01,01"
-,577,549,549,0,577,14,32 (21h),14,0,"2014,03,03"
-,516,484,484,0,516,16,30 (22h),16,0,"2014,03,02"
-,551,519,519,0,551,16,29 (22h),16,0,"2014,03,01"
,,,,,,,,,,"2014,02,31"
-,578,552,552,0,578,13,31 (20h),13,0,"2019,12,31"
-,585,558,558,0,585,13,31 (20h),13,0,"2019,12,30"
-,524,497,497,0,524,13,28 (22h),13,0,"2019,12,29"
-,540,514,514,0,540,13,27 (22h),13,0,"2019,12,28"
-,591,564,564,0,591,13,30 (20h),13,0,"2019,12,27"
-,595,569,569,0,595,13,31 (21h),13,0,"2019,12,26"
-,527,501,501,0,527,13,28 (22h),13,0,"2019,12,25"
-,592,566,566,0,592,13,31 (22h),13,0,"2019,12,24"
-,588,561,561,0,588,13,31 (21h),13,0,"2019,12,23"
-,531,505,505,0,531,13,28 (22h),13,0,"2019,12,22"
-,559,532,532,0,559,13,28 (22h),13,0,"2019,12,21"
-,581,555,555,0,581,13,29 (14h),13,0,"2019,12,20"
-,588,562,562,0,588,13,31 (20h),13,0,"2019,12,19"
-,606,580,580,0,606,13,34 (20h),13,0,"2019,12,18"
-,593,567,567,0,593,13,32 (22h),13,0,"2019,12,17"
-,599,573,573,0,599,13,34 (21h),13,0,"2019,12,16"
-,523,496,496,0,523,13,27 (22h),13,0,"2019,12,15"
-,537,510,510,0,537,13,27 (22h),13,0,"2019,12,14"
-,595,569,569,0,595,13,30 (19h),13,0,"2019,12,13"
-,584,558,558,0,584,13,31 (21h),13,0,"2019,12,12"
-,548,522,522,0,548,13,31 (21h),13,0,"2019,12,11"
-,583,557,557,0,583,13,30 (21h),13,0,"2019,12,10"
-,501,474,474,0,501,13,27 (22h),13,0,"2019,12,09"
-,528,502,502,0,528,13,29 (22h),13,0,"2019,12,08"
-,547,520,520,0,547,13,28 (22h),13,0,"2019,12,07"
-,460,434,434,0,460,13,27 (21h),13,0,"2019,12,06"
-,587,561,561,0,587,13,32 (21h),13,0,"2019,12,05"
-,577,551,551,0,577,13,33 (22h),13,0,"2019,12,04"
-,586,559,560,1,586,13,32 (21h),13,0,"2019,12,03"
-,562,535,535,0,562,13,30 (22h),13,0,"2019,12,02"
-,518,491,491,0,518,13,28 (21h),13,0,"2019,12,01"
,,,,,,,,,,"2019,11,31"
-,535,509,509,0,535,13,28 (22h),13,0,"2019,11,30"
-,542,516,516,0,542,13,29 (21h),13,0,"2019,11,29"
-,564,537,537,0,564,13,30 (21h),13,0,"2019,11,28"
-,567,541,541,0,567,13,30 (21h),13,0,"2019,11,27"
-,570,544,544,0,570,13,30 (22h),13,0,"2019,11,26"
-,568,542,542,0,568,13,30 (21h),13,0,"2019,11,25"
-,512,485,485,0,512,13,30 (13h),13,0,"2019,11,24"
