hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
True,"Sat, 1 Nov",1 Nov,1414821600000.0,06:00,"Saturday, 1 November 2014, 06:00 — 12:00",2,Scattered clouds.,21,17,1023,0,0,81
,,,1414843200000.0,12:00,"Saturday, 1 November 2014, 12:00 — 18:00",6,Partly sunny.,22,22,1022,10,70,66
,,,1414864800000.0,18:00,"Saturday, 1 November 2014, 18:00 — 00:00",14,Passing clouds.,20,20,1022,9,100,82
True,"Sun, 2 Nov",2 Nov,1414886400000.0,00:00,"Sunday, 2 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1414908000000.0,06:00,"Sunday, 2 November 2014, 06:00 — 12:00",6,Partly sunny.,20,18,1021,6,90,78
,,,1414929600000.0,12:00,"Sunday, 2 November 2014, 12:00 — 18:00",2,Scattered clouds.,22,21,1019,7,70,66
,,,1414951200000.0,18:00,"Sunday, 2 November 2014, 18:00 — 00:00",14,Passing clouds.,20,18,1018,4,320,80
True,"Mon, 3 Nov",3 Nov,1414972800000.0,00:00,"Monday, 3 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1414994400000.0,06:00,"Monday, 3 November 2014, 06:00 — 12:00",14,Passing clouds.,20,16,1018,8,250,82
,,,1415016000000.0,12:00,"Monday, 3 November 2014, 12:00 — 18:00",2,Scattered clouds.,22,22,1014,17,270,65
,,,1415037600000.0,18:00,"Monday, 3 November 2014, 18:00 — 00:00",14,Passing clouds.,20,19,1016,17,250,78
True,"Tue, 4 Nov",4 Nov,1415059200000.0,00:00,"Tuesday, 4 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415080800000.0,06:00,"Tuesday, 4 November 2014, 06:00 — 12:00",17,Overcast.,23,20,1005,16,190,43
,,,1415102400000.0,12:00,"Tuesday, 4 November 2014, 12:00 — 18:00",19,Rain. Low clouds.,17,15,1006,29,260,86
,,,1415124000000.0,18:00,"Tuesday, 4 November 2014, 18:00 — 00:00",17,Overcast.,17,16,1007,25,250,65
True,"Wed, 5 Nov",5 Nov,1415145600000.0,00:00,"Wednesday, 5 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415167200000.0,06:00,"Wednesday, 5 November 2014, 06:00 — 12:00",14,Passing clouds.,16,15,1009,29,270,58
,,,1415188800000.0,12:00,"Wednesday, 5 November 2014, 12:00 — 18:00",2,Passing clouds.,17,17,1010,31,270,54
,,,1415210400000.0,18:00,"Wednesday, 5 November 2014, 18:00 — 00:00",14,Passing clouds.,16,16,1012,24,280,52
True,"Thu, 6 Nov",6 Nov,1415232000000.0,00:00,"Thursday, 6 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415253600000.0,06:00,"Thursday, 6 November 2014, 06:00 — 12:00",14,Passing clouds.,18,16,1017,20,270,53
,,,1415275200000.0,12:00,"Thursday, 6 November 2014, 12:00 — 18:00",7,Overcast.,19,19,1018,31,280,56
,,,1415296800000.0,18:00,"Thursday, 6 November 2014, 18:00 — 00:00",13,Clear.,18,17,1019,18,270,70
True,"Fri, 7 Nov",7 Nov,1415318400000.0,00:00,"Friday, 7 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415340000000.0,06:00,"Friday, 7 November 2014, 06:00 — 12:00",17,Overcast.,19,17,1019,16,260,57
,,,1415361600000.0,12:00,"Friday, 7 November 2014, 12:00 — 18:00",2,Scattered clouds.,22,21,1017,22,260,52
,,,1415383200000.0,18:00,"Friday, 7 November 2014, 18:00 — 00:00",14,Passing clouds.,19,18,1017,15,250,72
True,"Sat, 8 Nov",8 Nov,1415404800000.0,00:00,"Saturday, 8 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415426400000.0,06:00,"Saturday, 8 November 2014, 06:00 — 12:00",14,Passing clouds.,19,16,1018,3,240,72
,,,1415448000000.0,12:00,"Saturday, 8 November 2014, 12:00 — 18:00",6,Partly sunny.,20,20,1017,21,280,69
,,,1415469600000.0,18:00,"Saturday, 8 November 2014, 18:00 — 00:00",14,Passing clouds.,18,18,1016,9,270,66
True,"Sun, 9 Nov",9 Nov,1415491200000.0,00:00,"Sunday, 9 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415512800000.0,06:00,"Sunday, 9 November 2014, 06:00 — 12:00",19,Rain. Overcast.,15,15,1012,17,300,84
,,,1415534400000.0,12:00,"Sunday, 9 November 2014, 12:00 — 18:00",6,Partly sunny.,18,17,1011,32,250,59
,,,1415556000000.0,18:00,"Sunday, 9 November 2014, 18:00 — 00:00",14,Passing clouds.,16,16,1012,30,270,58
True,"Mon, 10 Nov",10 Nov,1415577600000.0,00:00,"Monday, 10 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415599200000.0,06:00,"Monday, 10 November 2014, 06:00 — 12:00",14,Passing clouds.,17,15,1015,17,290,58
,,,1415620800000.0,12:00,"Monday, 10 November 2014, 12:00 — 18:00",6,Partly sunny.,18,17,1015,19,270,59
,,,1415642400000.0,18:00,"Monday, 10 November 2014, 18:00 — 00:00",13,Clear.,15,14,1015,5,280,68
True,"Tue, 11 Nov",11 Nov,1415664000000.0,00:00,"Tuesday, 11 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415685600000.0,06:00,"Tuesday, 11 November 2014, 06:00 — 12:00",14,Passing clouds.,15,12,1009,3,330,68
,,,1415707200000.0,12:00,"Tuesday, 11 November 2014, 12:00 — 18:00",7,Overcast.,20,16,1008,11,240,66
,,,1415728800000.0,18:00,"Tuesday, 11 November 2014, 18:00 — 00:00",14,Passing clouds.,19,19,1010,17,250,68
True,"Wed, 12 Nov",12 Nov,1415750400000.0,00:00,"Wednesday, 12 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415772000000.0,06:00,"Wednesday, 12 November 2014, 06:00 — 12:00",17,Overcast.,18,18,1014,7,250,72
,,,1415793600000.0,12:00,"Wednesday, 12 November 2014, 12:00 — 18:00",7,Overcast.,21,20,1015,5,280,68
,,,1415815200000.0,18:00,"Wednesday, 12 November 2014, 18:00 — 00:00",17,Overcast.,19,18,1016,8,300,78
True,"Thu, 13 Nov",13 Nov,1415836800000.0,00:00,"Thursday, 13 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415858400000.0,06:00,"Thursday, 13 November 2014, 06:00 — 12:00",14,Passing clouds.,18,14,1017,0,0,80
,,,1415880000000.0,12:00,"Thursday, 13 November 2014, 12:00 — 18:00",2,Scattered clouds.,22,21,1015,6,60,66
,,,1415901600000.0,18:00,"Thursday, 13 November 2014, 18:00 — 00:00",14,Passing clouds.,19,17,1015,0,0,82
True,"Fri, 14 Nov",14 Nov,1415923200000.0,00:00,"Friday, 14 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1415944800000.0,06:00,"Friday, 14 November 2014, 06:00 — 12:00",14,Passing clouds.,18,16,1012,2,270,78
,,,1415966400000.0,12:00,"Friday, 14 November 2014, 12:00 — 18:00",6,Partly sunny.,23,23,1012,10,80,58
,,,1415988000000.0,18:00,"Friday, 14 November 2014, 18:00 — 00:00",17,Overcast.,19,17,1012,13,250,78
True,"Sat, 15 Nov",15 Nov,1416009600000.0,00:00,"Saturday, 15 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1416031200000.0,06:00,"Saturday, 15 November 2014, 06:00 — 12:00",14,Passing clouds.,18,17,1016,14,230,74
,,,1416052800000.0,12:00,"Saturday, 15 November 2014, 12:00 — 18:00",2,Scattered clouds.,19,19,1017,20,260,66
,,,1416074400000.0,18:00,"Saturday, 15 November 2014, 18:00 — 00:00",14,Passing clouds.,17,16,1017,10,240,72
True,"Sun, 16 Nov",16 Nov,1416096000000.0,00:00,"Sunday, 16 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1416117600000.0,06:00,"Sunday, 16 November 2014, 06:00 — 12:00",17,Overcast.,17,15,1017,4,300,74
,,,1416139200000.0,12:00,"Sunday, 16 November 2014, 12:00 — 18:00",7,Overcast.,20,19,1016,12,250,50
,,,1416160800000.0,18:00,"Sunday, 16 November 2014, 18:00 — 00:00",14,Passing clouds.,16,15,1015,6,240,74
True,"Mon, 17 Nov",17 Nov,1416182400000.0,00:00,"Monday, 17 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1416204000000.0,06:00,"Monday, 17 November 2014, 06:00 — 12:00",14,Passing clouds.,17,15,1013,11,230,64
,,,1416225600000.0,12:00,"Monday, 17 November 2014, 12:00 — 18:00",2,Passing clouds.,19,18,1012,20,250,58
,,,1416247200000.0,18:00,"Monday, 17 November 2014, 18:00 — 00:00",13,Clear.,16,15,1012,7,230,70
True,"Tue, 18 Nov",18 Nov,1416268800000.0,00:00,"Tuesday, 18 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1416290400000.0,06:00,"Tuesday, 18 November 2014, 06:00 — 12:00",14,Passing clouds.,16,12,1014,0,0,80
,,,1416312000000.0,12:00,"Tuesday, 18 November 2014, 12:00 — 18:00",1,Sunny.,19,18,1013,7,110,68
,,,1416333600000.0,18:00,"Tuesday, 18 November 2014, 18:00 — 00:00",13,Clear.,16,14,1014,0,0,86
True,"Wed, 19 Nov",19 Nov,1416355200000.0,00:00,"Wednesday, 19 November 2014, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1416376800000.0,06:00,"Wednesday, 19 November 2014, 06:00 — 12:00",13,Clear.,17,13,1014,3,110,88
,,,1416398400000.0,12:00,"Wednesday, 19 November 2014, 12:00 — 18:00",2,Scattered clouds.,19,18,1014,8,80,82
